part,set,instance,holding_multiplier,method,n_runs,best,mean,std,reference_kind,mean_gap_pct,mean_runtime_s,mean_iterations,mean_lp_rescues
small,small,small_k1_n6_T3_s2,1.0,greedy,1,4901.820632158973,4901.820632158973,,optimum,1.8554222400674578e-14,0.0003024999969056,,
small,small,small_k1_n6_T3_s2,1.0,gurobi,1,4901.820632158972,4901.820632158972,,optimum,0.0,0.4167289999968488,,
small,small,small_k1_n6_T3_s2,1.0,matheuristic,10,4901.820632158972,4901.820632158972,0.0,optimum,0.0,10.004987709999114,9458.2,0.0
small,small,small_k1_n8_T3_s1,1.0,alns,10,4577.858395729521,4577.858395729521,0.0,optimum,0.0,10.001048379998974,8095.1,
small,small,small_k1_n8_T3_s1,1.0,greedy,1,4682.124260965343,4682.124260965343,,optimum,2.277612285541342,0.0003004000027431,,
small,small,small_k1_n8_T3_s1,1.0,gurobi,1,4577.858395729521,4577.858395729521,,optimum,0.0,19.93025349999516,,
small,small,small_k1_n8_T3_s1,1.0,matheuristic,10,4577.858395729521,4577.858395729521,0.0,optimum,0.0,10.006009089999134,8119.7,0.0
small,small,small_k1_n8_T3_s2,1.0,alns,10,5019.579142341439,5019.579142341439,0.0,optimum,0.0,10.000735819998955,8431.8,
small,small,small_k1_n8_T3_s2,1.0,greedy,1,5237.463205741438,5237.463205741438,,optimum,4.340683894434314,0.000338500001817,,
small,small,small_k1_n8_T3_s2,1.0,gurobi,1,5019.579142341439,5019.579142341439,,optimum,0.0,2.360023099994578,,
small,small,small_k1_n8_T3_s2,1.0,matheuristic,10,5019.579142341439,5019.579142341439,0.0,optimum,0.0,10.005431390001467,8763.5,0.0
small,small,small_k2_n10_T3_s1,1.0,alns,10,7279.778660855275,7279.778660855275,0.0,optimum,0.0,10.000902440000209,8523.2,
small,small,small_k2_n10_T3_s1,1.0,greedy,1,7369.749577455275,7369.749577455275,,optimum,1.2359018150344405,0.0003556000010576,,
small,small,small_k2_n10_T3_s1,1.0,gurobi,1,7279.778660855275,7279.778660855275,,optimum,0.0,46.20075550000183,,
small,small,small_k2_n10_T3_s1,1.0,matheuristic,10,7279.778660855275,7279.778660855275,0.0,optimum,0.0,10.006810560000304,7940.3,0.0
small,small,small_k2_n10_T3_s2,1.0,alns,10,8865.160189479453,8865.160189479453,0.0,optimum,0.0,10.000509100000636,7272.2,
small,small,small_k2_n10_T3_s2,1.0,greedy,1,8874.961368079454,8874.961368079454,,optimum,0.11055839252213386,0.0004028999974252,,
small,small,small_k2_n10_T3_s2,1.0,gurobi,1,8865.160189479453,8865.160189479453,,optimum,0.0,0.8718802000003052,,
small,small,small_k2_n10_T3_s2,1.0,matheuristic,10,8865.160189479453,8865.160189479453,0.0,optimum,0.0,10.006544559997565,7551.6,0.0
small,small,small_k2_n6_T3_s1,1.0,alns,10,3754.118834748151,3754.118834748151,0.0,optimum,0.0,10.000568900001236,10965.6,
small,small,small_k2_n6_T3_s1,1.0,greedy,1,3799.452770548152,3799.452770548152,,optimum,1.207578603543114,0.0002422999968985,,
small,small,small_k2_n6_T3_s1,1.0,gurobi,1,3754.118834748151,3754.118834748151,,optimum,0.0,0.5291556999945897,,
small,small,small_k2_n6_T3_s1,1.0,matheuristic,10,3754.118834748151,3754.118834748151,0.0,optimum,0.0,10.00719392999963,10946.6,0.0
